Fecha,USD
2021-01-01,84.145
2021-01-02,84.145
2021-01-03,84.145
2021-01-04,84.7033
2021-01-05,84.7967
2021-01-06,84.9033
2021-01-07,85
2021-01-08,85.105
2021-01-09,85.105
2021-01-10,85.105
2021-01-11,85.3783
2021-01-12,85.465
2021-01-13,85.555
2021-01-14,85.645
2021-01-15,85.735
2021-01-16,85.735
2021-01-17,85.735
2021-01-18,86.0667
2021-01-19,86.1967
2021-01-20,86.32
2021-01-21,86.4283
2021-01-22,86.5467
2021-01-23,86.5467
2021-01-24,86.5467
2021-01-25,86.9117
2021-01-26,87.0217
2021-01-27,87.1233
2021-01-28,87.2167
2021-01-29,87.2983
2021-01-30,87.2983
2021-01-31,87.2983
2021-02-01,87.605
2021-02-02,87.7033
2021-02-03,87.805
2021-02-04,87.905
2021-02-05,88.005
2021-02-06,88.005
2021-02-07,88.005
2021-02-08,88.165
2021-02-09,88.275
2021-02-10,88.355
2021-02-11,88.45
2021-02-12,88.5383
2021-02-13,88.5383
2021-02-14,88.5383
2021-02-15,88.5383
2021-02-16,88.5383
2021-02-17,88.945
2021-02-18,89.045
2021-02-19,89.1567
2021-02-20,89.1567
2021-02-21,89.1567
2021-02-22,89.4383
2021-02-23,89.535
2021-02-24,89.6383
2021-02-25,89.7533
2021-02-26,89.825
2021-02-27,89.825
2021-02-28,89.825
2021-03-01,90.085
2021-03-02,90.155
2021-03-03,90.2233
2021-03-04,90.295
2021-03-05,90.365
2021-03-06,90.365
2021-03-07,90.365
2021-03-08,90.5817
2021-03-09,90.6517
2021-03-10,90.7233
2021-03-11,90.7867
2021-03-12,90.855
2021-03-13,90.855
2021-03-14,90.855
2021-03-15,91.0667
2021-03-16,91.135
2021-03-17,91.205
2021-03-18,91.28
2021-03-19,91.3567
2021-03-20,91.3567
2021-03-21,91.3567
2021-03-22,91.5683
2021-03-23,91.6367
2021-03-24,91.6367
2021-03-25,91.7767
2021-03-26,91.8483
2021-03-27,91.8483
2021-03-28,91.8483
2021-03-29,91.9217
2021-03-30,91.9583
2021-03-31,91.985
2021-04-01,91.985
2021-04-02,91.985
2021-04-03,91.985
2021-04-04,91.985
2021-04-05,92.2367
2021-04-06,92.2867
2021-04-07,92.335
2021-04-08,92.3867
2021-04-09,92.435
2021-04-10,92.435
2021-04-11,92.435
2021-04-12,92.5817
2021-04-13,92.6283
2021-04-14,92.6767
2021-04-15,92.725
2021-04-16,92.7767
2021-04-17,92.7767
2021-04-18,92.7767
2021-04-19,92.9267
2021-04-20,92.975
2021-04-21,93.025
2021-04-22,93.075
2021-04-23,93.125
2021-04-24,93.125
2021-04-25,93.125
2021-04-26,93.275
2021-04-27,93.335
2021-04-28,93.4167
2021-04-29,93.5
2021-04-30,93.555
2021-05-01,93.555
2021-05-02,93.555
2021-05-03,93.675
2021-05-04,93.715
2021-05-05,93.755
2021-05-06,93.795
2021-05-07,93.835
2021-05-08,93.835
2021-05-09,93.835
2021-05-10,93.925
2021-05-11,93.955
2021-05-12,93.985
2021-05-13,94.015
2021-05-14,94.045
2021-05-15,94.045
2021-05-16,94.045
2021-05-17,94.135
2021-05-18,94.165
2021-05-19,94.21
2021-05-20,94.245
2021-05-21,94.2767
2021-05-22,94.2767
2021-05-23,94.2767
2021-05-24,94.2767
2021-05-25,94.2767
2021-05-26,94.485
2021-05-27,94.525
2021-05-28,94.565
2021-05-29,94.565
2021-05-30,94.565
2021-05-31,94.685
2021-06-01,94.735
2021-06-02,94.775
2021-06-03,94.815
2021-06-04,94.86
2021-06-05,94.86
2021-06-06,94.86
2021-06-07,94.975
2021-06-08,95.015
2021-06-09,95.055
2021-06-10,95.0967
2021-06-11,95.135
2021-06-12,95.135
2021-06-13,95.135
2021-06-14,95.255
2021-06-15,95.285
2021-06-16,95.315
2021-06-17,95.3517
2021-06-18,95.3817
2021-06-19,95.3817
2021-06-20,95.3817
2021-06-21,95.3817
2021-06-22,95.4967
2021-06-23,95.53
2021-06-24,95.5583
2021-06-25,95.59
2021-06-26,95.59
2021-06-27,95.59
2021-06-28,95.6833
2021-06-29,95.705
2021-06-30,95.7267
2021-07-01,95.7667
2021-07-02,95.795
2021-07-03,95.795
2021-07-04,95.795
2021-07-05,95.89
2021-07-06,95.9183
2021-07-07,95.9483
2021-07-08,95.9767
2021-07-09,95.9767
2021-07-10,95.9767
2021-07-11,95.9767
2021-07-12,96.095
2021-07-13,96.125
2021-07-14,96.155
2021-07-15,96.185
2021-07-16,96.215
2021-07-17,96.215
2021-07-18,96.215
2021-07-19,96.305
2021-07-20,96.335
2021-07-21,96.365
2021-07-22,96.395
2021-07-23,96.4317
2021-07-24,96.4317
2021-07-25,96.4317
2021-07-26,96.5267
2021-07-27,96.5783
2021-07-28,96.635
2021-07-29,96.6667
2021-07-30,96.685
2021-07-31,96.685
2021-08-01,96.685
2021-08-02,96.7817
2021-08-03,96.8133
2021-08-04,96.8433
2021-08-05,96.875
2021-08-06,96.9083
2021-08-07,96.9083
2021-08-08,96.9083
2021-08-09,96.9967
2021-08-10,97.0283
2021-08-11,97.0517
2021-08-12,97.0767
2021-08-13,97.105
2021-08-14,97.105
2021-08-15,97.105
2021-08-16,97.105
2021-08-17,97.23
2021-08-18,97.265
2021-08-19,97.2883
2021-08-20,97.315
2021-08-21,97.315
2021-08-22,97.315
2021-08-23,97.4117
2021-08-24,97.4367
2021-08-25,97.4833
2021-08-26,97.545
2021-08-27,97.5667
2021-08-28,97.5667
2021-08-29,97.5667
2021-08-30,97.7167
2021-08-31,97.7517
2021-09-01,97.78
2021-09-02,97.8333
2021-09-03,97.8683
2021-09-04,97.8683
2021-09-05,97.8683
2021-09-06,97.95
